mean_x,mean_y,mean_z,std_dev_x,std_dev_y,std_dev_z,median_x,median_y,median_z,rms_x,rms_y,rms_y,label
1.319787503,-4.60416156,5.935421226,1.468816187,6.202663551,5.24815918,0.401764535,-0.81969543,8.899893,1.969184053,7.699779766,7.905502398,clockwise
2.837738884,-7.028352468,1.348994768,1.20432695,7.343016737,4.849850751,2.69020565,-8.6077005,2.5363257,3.080367079,10.13796993,5.010551733,clockwise
2.825739849,-7.211152336,1.569528185,1.392286231,7.88770181,4.7869221,2.58362735,-8.28078,2.27826225,3.147043379,10.65806734,5.014867464,clockwise
2.838708874,-8.462609874,-0.157328839,1.495356106,7.292506443,4.325120795,2.8315117,-10.0010025,-0.33530274,3.204995641,11.14740372,4.306315776,clockwise
2.695510651,-7.0850905,1.644324622,1.484910039,7.36731876,5.379215693,2.4135809,-8.893306,2.7339147,3.073871486,10.1947594,5.599143267,clockwise
-0.624668996,1.337079534,10.16417539,0.292803068,0.863680978,0.397778854,-0.53229308,1.1340418,10.230326,0.689266026,1.589423501,10.17187825,clockwise
-0.265751368,2.03155137,9.532560908,1.502104699,2.320932841,2.130319941,-0.78077638,2.37945185,10.168055,1.518018159,3.075721529,9.765377509,clockwise
2.414191662,-9.475966621,-1.621595831,1.848345678,8.869831653,5.1974521,2.5147705,-9.90280675,-1.17355955,3.034887034,12.94917441,5.419681383,clockwise
2.414000065,-7.309479904,-1.85118245,2.002451507,8.043713992,5.330882691,1.96032355,-6.82820065,-2.44351875,3.130033583,10.83894911,5.617918086,clockwise
2.114850141,-7.824492942,-1.750675455,2.141849266,8.589145489,5.759612026,1.79626465,-7.25391555,-2.1830604,3.002371432,11.58699166,5.992183569,clockwise
0.972856935,-4.927537153,3.288625266,1.734405823,7.082308772,6.425108554,0.494571535,-2.078877,4.94092535,1.981043296,8.598728334,7.1891763,clockwise
2.177815218,-8.889402379,-2.668135574,2.161706987,8.098025785,4.335521379,1.69387755,-9.9111895,-2.68721195,3.060902882,11.99765461,5.072250547,clockwise
2.283974449,-8.372533202,-3.192393359,2.002209364,7.822775388,4.406172075,2.06869805,-9.629775,-3.6625836,3.030724863,11.43167393,5.423244803,clockwise
2.321228972,-8.79683492,-2.442812152,1.862222144,7.909746299,4.16574145,2.0746857,-9.8728695,-2.8692334,2.970066757,11.80350585,4.811153606,clockwise
2.500496188,-8.308753938,-2.278980817,2.525869427,10.26759737,5.612786335,2.06450675,-7.5359289,-2.9416827,3.545235872,13.1683223,6.031756817,clockwise
1.530633024,-5.927769129,1.40522985,2.0129393,7.891998243,6.827453801,0.79634397,-3.5128948,1.6220269,2.520762352,9.838660821,6.937049451,clockwise
2.755829221,-7.961655684,-2.481611469,1.940026498,7.097738409,4.529120815,2.5465045,-7.3066057,-3.402724,3.36461892,10.64246554,5.144531222,clockwise
2.682649395,-8.470285903,-2.720969735,2.089277611,8.168017145,4.553177141,2.3543043,-8.42029,-3.5386415,3.393823494,11.73861501,5.284674461,clockwise
2.807669441,-8.044822678,-2.434633183,2.010873488,8.593578421,5.509884132,2.9309051,-7.4377332,-3.4817595,3.447634516,11.74011355,5.998555964,clockwise
2.621133327,-8.119750897,-1.94385772,1.487132999,7.091651538,4.436683832,2.4944129,-7.5880205,-3.2715967,3.00994831,10.75727479,4.823474331,clockwise
0.449988241,-2.280741174,9.343857406,0.385230908,1.351171886,1.280364735,0.39218445,-1.893263,9.85131425,0.59110764,2.64748732,9.430302845,clockwise
1.690464658,-9.265935486,-2.18501224,1.607104741,6.70633746,4.667918218,1.3974939,-9.2196275,-3.0320947,2.326935442,11.41852762,5.132820314,clockwise
2.013504903,-7.023957645,-0.211911339,1.624309744,6.982346738,5.25780884,1.94655215,-6.44739275,-0.290396122,2.581898588,9.87935298,5.235743947,clockwise
1.942181212,-7.759755481,-1.472086782,1.865224479,8.405928806,5.104699724,1.7651294,-6.2941112,-2.39801325,2.686324551,11.40906867,5.288139481,clockwise
2.128908928,-8.84489097,-3.124889747,1.755833756,7.846920333,4.626989969,2.00283505,-8.4119075,-4.1829018,2.75397456,11.79790292,5.56416047,clockwise
3.250975541,-0.15156881,2.925839696,5.140998673,8.055862776,6.473884229,0.7562274,4.4744955,6.98986455,6.060891902,8.016915174,7.07478644,clockwise
4.950074215,-0.314825354,2.954232661,5.824683831,8.268022007,4.994112118,7.0425551,-1.2352313,5.02954105,7.62173911,8.232599895,5.780937199,clockwise
3.556460332,1.621021077,3.582757597,5.63356078,9.238215335,5.192156563,4.03081785,2.0435504,5.33370855,6.638376841,9.333749819,6.286895647,clockwise
2.581555576,3.211278101,3.12867391,6.197633447,9.773337908,5.852861999,2.30400885,7.4515045,5.8222923,6.685131482,10.24086225,6.610751401,clockwise
4.302472952,-0.76937605,1.313057497,5.303820923,9.583848774,5.551060321,5.54447035,-4.1433838,3.39793395,6.808853407,9.5667965,5.67716901,clockwise
2.307840824,7.237365821,4.431468746,4.106756846,3.849885319,3.333076841,3.1686108,6.93537775,4.62657905,4.692859101,8.188581368,5.534999771,clockwise
4.129061561,2.341993777,5.129245646,5.307507064,7.571835018,4.96219383,6.2330383,-0.5281018,6.29770375,6.703512833,7.889505279,7.119430794,clockwise
4.710692086,-0.14499445,3.458300419,4.982610837,8.232160347,3.299760075,5.55345155,-1.2885205,3.80508735,6.838769376,8.192179364,4.768581988,clockwise
5.57706645,-0.567631594,5.759554922,3.087065336,7.305737791,1.546497056,6.22106325,-2.4159759,5.43070685,6.366972817,7.291246276,5.961560996,clockwise
2.950125201,4.173082021,4.256440672,4.169941398,6.291785491,4.26465683,3.7757484,3.6146833,5.6396722,5.090949406,7.523650216,6.010217308,clockwise
3.636681497,1.980776927,5.11642036,5.633336943,8.538502139,4.860403482,3.8547839,5.0552875,6.793473,6.681511249,8.723556375,7.040244604,clockwise
5.463087441,1.384524863,5.257930078,5.701768711,8.039872028,3.563308536,6.06059695,2.02319275,6.2617786,7.875937351,8.118500841,6.34161058,clockwise
3.292804589,1.080153802,4.121649014,7.534677173,11.19923273,6.5223092,6.07077565,-0.715512085,6.44559645,8.188174922,11.19532571,7.687854234,clockwise
3.419285554,0.31856151,2.761385648,6.350047664,10.11419112,6.460583252,4.33079405,1.6621436,5.0738488,7.184106623,10.0685339,6.996212925,clockwise
4.503486964,2.032988337,6.17762956,3.062421484,6.819916816,1.217153614,5.73667065,0.706530765,6.1270588,5.437465948,7.08372743,6.295216857,clockwise
3.647782393,2.03100054,2.556934788,6.38385419,8.394793704,7.216538359,2.69140325,5.8103175,5.86660035,7.324778138,8.596092073,7.622044158,clockwise
5.229740742,-1.477762991,3.889823107,4.697911447,8.405794514,4.639803184,6.065387,-3.6973114,6.17076805,7.014260935,8.493208525,6.036821983,clockwise
4.853842351,2.699833651,7.074205149,1.737408046,4.849663375,1.108561355,4.54754325,2.8680358,7.2299653,5.152493224,5.529298712,7.159678602,clockwise
4.336625955,1.637690387,2.553246494,4.919767956,8.583645787,4.690702077,4.55353095,1.6322058,4.3655219,6.539755366,8.696218434,5.319936727,clockwise
3.914240302,1.722174707,4.058300748,5.304808432,8.27842193,2.575475433,3.4620007,-0.505947875,4.57269125,6.571214478,8.415036106,4.799640396,clockwise
4.403914015,2.639203726,4.865506161,3.790896825,9.227764982,5.020883065,4.63436295,4.5834685,6.57552615,5.79841775,9.553299242,6.9735446,clockwise
4.227305282,2.22658976,5.086087416,5.58073079,8.210306575,4.584839494,3.85119135,3.170407,6.37374565,6.978769271,8.467156824,6.83219078,clockwise
3.867273995,1.751908856,3.954261079,5.647066074,9.957694898,5.992163784,5.3115545,1.8818866,5.5558465,6.821016775,10.0614768,7.154239808,clockwise
4.733624371,-0.478333263,4.611382562,4.690170944,9.070928424,6.300212282,5.8121137,-1.97050235,6.1468175,6.647174297,9.038126341,7.782068953,clockwise
4.750581109,0.115966794,4.713194858,4.777695583,8.280167529,4.687859605,6.3982948,-2.94407775,5.5732105,6.720575288,8.239478798,6.631023538,clockwise
4.027237281,1.268079006,3.418207817,7.141287998,9.508681356,7.061578171,3.37757635,4.62238775,5.7073315,8.167414183,9.545621786,7.813537745,clockwise
4.911131277,-1.01051864,3.908360537,7.206380203,9.570051949,6.036439577,5.54985915,-1.89865175,5.6636223,8.690903687,9.575551331,7.165856462,clockwise
4.287264588,0.890180903,2.506615427,7.401764844,9.985139995,6.648277351,5.2828145,1.26397155,4.96607305,8.521672326,9.9748891,7.073946332,clockwise
3.057841224,0.9924961,1.507664811,8.241822208,11.03794998,6.624272427,4.660708,0.18741028,4.20685195,8.75207118,11.02737615,6.761303758,clockwise
3.382833351,1.238081443,2.867712645,7.713937281,11.8495805,7.576751053,3.7949084,2.8692335,4.17631525,8.387689883,11.85501068,8.065783332,clockwise
4.023560975,1.75342977,1.909812515,6.373901187,9.491785139,6.744154386,2.7464887,6.74317745,5.21096375,7.51061869,9.605600514,6.976830659,clockwise
