mean_x,mean_y,mean_z,std_dev_x,std_dev_y,std_dev_z,label
1.319787503,-4.60416156,5.935421226,1.468816187,6.202663551,5.24815918,clockwise
2.837738884,-7.028352468,1.348994768,1.20432695,7.343016737,4.849850751,clockwise
2.825739849,-7.211152336,1.569528185,1.392286231,7.88770181,4.7869221,clockwise
2.838708874,-8.462609874,-0.157328839,1.495356106,7.292506443,4.325120795,clockwise
2.695510651,-7.0850905,1.644324622,1.484910039,7.36731876,5.379215693,clockwise
-0.624668996,1.337079534,10.16417539,0.292803068,0.863680978,0.397778854,clockwise
-0.265751368,2.03155137,9.532560908,1.502104699,2.320932841,2.130319941,clockwise
2.414191662,-9.475966621,-1.621595831,1.848345678,8.869831653,5.1974521,clockwise
2.414000065,-7.309479904,-1.85118245,2.002451507,8.043713992,5.330882691,clockwise
2.114850141,-7.824492942,-1.750675455,2.141849266,8.589145489,5.759612026,clockwise
0.972856935,-4.927537153,3.288625266,1.734405823,7.082308772,6.425108554,clockwise
2.177815218,-8.889402379,-2.668135574,2.161706987,8.098025785,4.335521379,clockwise
2.283974449,-8.372533202,-3.192393359,2.002209364,7.822775388,4.406172075,clockwise
2.321228972,-8.79683492,-2.442812152,1.862222144,7.909746299,4.16574145,clockwise
2.500496188,-8.308753938,-2.278980817,2.525869427,10.26759737,5.612786335,clockwise
1.530633024,-5.927769129,1.40522985,2.0129393,7.891998243,6.827453801,clockwise
2.755829221,-7.961655684,-2.481611469,1.940026498,7.097738409,4.529120815,clockwise
2.682649395,-8.470285903,-2.720969735,2.089277611,8.168017145,4.553177141,clockwise
2.807669441,-8.044822678,-2.434633183,2.010873488,8.593578421,5.509884132,clockwise
2.621133327,-8.119750897,-1.94385772,1.487132999,7.091651538,4.436683832,clockwise
0.449988241,-2.280741174,9.343857406,0.385230908,1.351171886,1.280364735,clockwise
1.690464658,-9.265935486,-2.18501224,1.607104741,6.70633746,4.667918218,clockwise
2.013504903,-7.023957645,-0.211911339,1.624309744,6.982346738,5.25780884,clockwise
1.942181212,-7.759755481,-1.472086782,1.865224479,8.405928806,5.104699724,clockwise
