mean_x,mean_y,mean_z,std_dev_x,std_dev_y,std_dev_z,median_x,median_y,median_z,rms_x,rms_y,rms_y,label
0.702399363,-0.438659818,8.199457197,2.387137093,6.906730903,2.674483693,-0.43349853,1.3424084,9.00826725,2.476853676,6.886096491,8.620465923,counterclockwise
2.794029788,-5.867725974,4.572679053,2.386296833,9.664266231,3.218931315,2.85606075,-2.7003845,4.336183,3.666615729,11.26473566,5.582767893,counterclockwise
3.192968199,-7.47731092,4.144365746,2.45429114,10.05224778,3.310588071,3.0596374,-5.83666255,4.3409729,4.019745697,12.48788962,5.293974016,counterclockwise
3.693443432,-6.428471934,4.559470544,2.498382257,10.0550789,3.34041083,3.2165113,-3.888913,4.79243415,4.452080317,11.89196438,5.64229853,counterclockwise
3.740613355,-6.988870548,3.795052144,2.006817982,8.618578414,2.807129808,3.5512152,-6.11209,4.1745191,4.240192625,11.062613,4.712069478,counterclockwise
0.96136084,-2.474857468,6.816429155,2.708524675,6.131131369,3.915256877,-0.071850592,0.136516115,7.67005025,2.861286341,6.583295803,7.851092311,counterclockwise
3.144061892,-8.377658561,2.746668263,1.800164469,8.121669579,4.802721614,3.1380744,-7.4341405,3.20154235,3.618468098,11.63989109,5.511774678,counterclockwise
3.130793474,-8.027889829,2.666686586,1.653660681,7.386263051,4.033899079,3.22549265,-7.56407025,3.20812855,3.536822796,10.88385631,4.818800235,counterclockwise
2.84262474,-8.33148257,2.001936961,1.513858154,6.659481337,3.965215683,3.1051428,-9.3513535,1.9836749,3.217042782,10.64513065,4.424190056,counterclockwise
2.526494122,-8.268026555,0.997393903,1.961821521,7.376467466,4.163368753,2.53033805,-8.622669,1.20469485,3.192714957,11.05569594,4.260879906,counterclockwise
-0.298754736,-0.960857889,10.33497628,0.346870559,1.079823555,0.419607229,-0.211360475,-1.4040802,10.177635,0.456476051,1.44139051,10.34340583,counterclockwise
2.065153502,-6.85333631,3.655374617,3.305264873,9.348162086,5.711283817,2.420766,-5.131928,3.01413215,3.88334741,11.55346146,6.756799449,counterclockwise
2.588608953,-7.739278071,1.775607611,2.030164597,8.157882653,5.607907133,2.2770648,-5.77020095,1.7794995,3.28348122,11.21525586,5.855503273,counterclockwise
2.159229853,-9.068058904,0.793793303,1.988028037,5.178543207,3.944525918,2.26089845,-9.427994,1.5980768,2.928311199,10.42970896,4.004222731,counterclockwise
2.520183242,-9.136412747,1.018134789,1.703660287,7.61714408,4.201211559,2.35071165,-8.50052325,1.61304565,3.037228566,11.87075031,4.302356938,counterclockwise
1.950132682,-6.141273231,5.447687495,2.456902318,7.380503696,4.94965434,0.91729248,-2.1088147,7.56886025,3.127142912,9.573001272,7.343799177,counterclockwise
2.336114037,-6.742470968,3.41122627,1.799292255,7.189211587,4.487667631,1.9573297,-4.3751018,3.8757403,2.9432137,9.829996458,5.619095463,counterclockwise
2.353657536,-7.943884613,2.370290961,1.322555784,6.029743046,4.111925158,2.25371335,-8.3340695,3.3188983,2.696547063,9.954874481,4.728332524,counterclockwise
2.515249511,-8.410374495,2.726478277,1.413715992,6.540901901,3.527432524,2.391427,-8.9022875,3.400329,2.881854798,10.63437647,4.444326293,counterclockwise
2.651502161,-8.171147995,3.409394135,1.753661185,6.236739035,3.618376239,2.3381378,-7.3778577,3.930227,3.174120033,10.26039006,4.95839576,counterclockwise
-1.522382199,-3.098628369,8.127163482,3.145273302,5.778103447,4.028641661,-1.07237,-2.60218865,9.6657,3.480152908,6.531011592,9.061922553,counterclockwise
0.966366434,-8.578361188,2.309936466,2.544663345,8.664508106,7.018165915,0.747246075,-5.7648123,3.3362622,2.710059502,12.16187668,7.355128331,counterclockwise
1.191031237,-8.187913091,2.591459011,2.494554057,9.168893405,7.000004921,0.62031004,-6.021079,3.78053835,2.753021495,12.25845998,7.431401483,counterclockwise
1.39929015,-8.673563258,2.558958615,2.938823838,8.726749317,7.499832663,1.011297,-6.021678,5.21395755,3.241655691,12.27294959,7.888807532,counterclockwise
1.325882813,-8.652498964,3.09684406,1.644215171,6.754086339,5.614228861,1.21666995,-6.1683728,4.77028015,2.105795414,10.95569458,6.387081741,counterclockwise
3.392245764,4.787009376,4.561614079,7.667218873,8.830495925,3.949038895,3.5506165,7.100634,5.02475095,8.348994797,10.00566542,6.020571577,counterclockwise
3.30559397,2.919564754,2.184461397,8.176232982,10.09523715,4.389471414,5.997129,3.8547839,3.87514165,8.781186105,10.46033141,4.88330383,counterclockwise
5.058676457,1.448316278,3.517553199,4.206557551,9.21220031,1.898377112,6.5886985,0.93405763,3.7206629,6.565697424,9.27974182,3.99261541,counterclockwise
4.931704456,-3.74440946,-0.147293688,8.971908305,9.483305893,6.233632788,7.25511275,-6.88448355,0.839454365,10.19862226,10.15156943,6.204135024,counterclockwise
