mean_x,mean_y,mean_z,std_dev_x,std_dev_y,std_dev_z,label
0.702399363,-0.438659818,8.199457197,2.387137093,6.906730903,2.674483693,counterclockwise
2.794029788,-5.867725974,4.572679053,2.386296833,9.664266231,3.218931315,counterclockwise
3.192968199,-7.47731092,4.144365746,2.45429114,10.05224778,3.310588071,counterclockwise
3.693443432,-6.428471934,4.559470544,2.498382257,10.0550789,3.34041083,counterclockwise
3.740613355,-6.988870548,3.795052144,2.006817982,8.618578414,2.807129808,counterclockwise
0.96136084,-2.474857468,6.816429155,2.708524675,6.131131369,3.915256877,counterclockwise
3.144061892,-8.377658561,2.746668263,1.800164469,8.121669579,4.802721614,counterclockwise
3.130793474,-8.027889829,2.666686586,1.653660681,7.386263051,4.033899079,counterclockwise
2.84262474,-8.33148257,2.001936961,1.513858154,6.659481337,3.965215683,counterclockwise
2.526494122,-8.268026555,0.997393903,1.961821521,7.376467466,4.163368753,counterclockwise
-0.298754736,-0.960857889,10.33497628,0.346870559,1.079823555,0.419607229,counterclockwise
2.065153502,-6.85333631,3.655374617,3.305264873,9.348162086,5.711283817,counterclockwise
2.588608953,-7.739278071,1.775607611,2.030164597,8.157882653,5.607907133,counterclockwise
2.159229853,-9.068058904,0.793793303,1.988028037,5.178543207,3.944525918,counterclockwise
2.520183242,-9.136412747,1.018134789,1.703660287,7.61714408,4.201211559,counterclockwise
1.950132682,-6.141273231,5.447687495,2.456902318,7.380503696,4.94965434,counterclockwise
2.336114037,-6.742470968,3.41122627,1.799292255,7.189211587,4.487667631,counterclockwise
2.353657536,-7.943884613,2.370290961,1.322555784,6.029743046,4.111925158,counterclockwise
2.515249511,-8.410374495,2.726478277,1.413715992,6.540901901,3.527432524,counterclockwise
2.651502161,-8.171147995,3.409394135,1.753661185,6.236739035,3.618376239,counterclockwise
-1.522382199,-3.098628369,8.127163482,3.145273302,5.778103447,4.028641661,counterclockwise
0.966366434,-8.578361188,2.309936466,2.544663345,8.664508106,7.018165915,counterclockwise
1.191031237,-8.187913091,2.591459011,2.494554057,9.168893405,7.000004921,counterclockwise
1.39929015,-8.673563258,2.558958615,2.938823838,8.726749317,7.499832663,counterclockwise
1.325882813,-8.652498964,3.09684406,1.644215171,6.754086339,5.614228861,counterclockwise
3.392245764,4.787009376,4.561614079,7.667218873,8.830495925,3.949038895,counterclockwise
3.30559397,2.919564754,2.184461397,8.176232982,10.09523715,4.389471414,counterclockwise
5.058676457,1.448316278,3.517553199,4.206557551,9.21220031,1.898377112,counterclockwise
4.931704456,-3.74440946,-0.147293688,8.971908305,9.483305893,6.233632788,counterclockwise
2.825620074,0.427666611,0.041972703,8.088180905,11.32292159,7.818672779,counterclockwise
3.711825209,0.221251954,2.070733908,5.528760192,9.573139751,3.374300021,counterclockwise
3.59420578,-0.074952144,-0.121104154,6.406741552,9.791252088,3.896403571,counterclockwise
3.974463031,0.944176576,-1.154111985,5.577905415,10.46197149,5.964451671,counterclockwise
3.484022931,2.051693458,0.579570795,6.372817692,9.391930137,5.006219608,counterclockwise
3.279368544,3.30421681,2.164462968,4.205540263,8.050245484,2.771502923,counterclockwise
3.550460775,0.530616495,0.867021032,6.787775901,10.34724021,5.367372271,counterclockwise
3.28914019,-0.661743938,0.644691351,5.769094093,9.670290995,3.539659191,counterclockwise
4.501750567,-0.211204715,1.007321288,5.009682922,9.411456295,4.932521244,counterclockwise
2.895434899,2.434669063,1.382333425,5.025197411,9.054450372,4.226626571,counterclockwise
2.451937164,3.632119018,2.061177777,5.065581876,8.637511901,3.072749182,counterclockwise
3.093371313,0.526473182,1.070334223,6.07354044,10.42552674,5.466273709,counterclockwise
3.628502528,0.638775632,0.645625409,5.324141376,10.00981572,4.332169955,counterclockwise
3.416411507,1.252894592,1.592484412,4.119937295,9.628678197,3.629996018,counterclockwise
3.017185737,2.87062251,3.556747702,3.764500717,8.392378145,2.529300387,counterclockwise
4.589995056,2.115628495,5.003111964,2.787101152,7.219849051,1.527418305,counterclockwise
3.534186605,-0.491709513,1.784876324,5.54078617,9.385227423,4.123665585,counterclockwise
3.460551749,0.700339665,2.473815667,4.332750243,9.247458466,3.086109399,counterclockwise
3.187483579,2.161121916,1.21981939,5.034884206,9.043601616,5.121932878,counterclockwise
3.530450384,2.062447126,1.741646232,3.766921961,8.928990115,2.952422651,counterclockwise
5.621338376,-1.976094679,4.319094404,3.353398955,6.595613984,1.875488565,counterclockwise
4.288917192,0.698687117,1.199533544,4.573801734,8.590469791,3.577501129,counterclockwise
3.981899635,0.858195383,0.974916648,4.796222706,9.132512162,3.441837717,counterclockwise
3.694018239,2.905374218,3.36566106,3.555988849,7.311530775,3.593745548,counterclockwise
4.448629032,3.369672751,3.442050237,3.284381424,7.208192886,2.37575775,counterclockwise
6.477378237,-1.852152447,0.888145103,2.014124704,5.377044243,4.193364333,counterclockwise
6.47283965,-0.454766317,0.890647856,2.736239464,5.162414292,6.19769123,counterclockwise
3.031891167,1.279000297,-0.366773281,7.58077415,10.0631382,6.107563107,counterclockwise
3.488549552,1.200922714,-0.650858558,8.024468162,10.69822298,7.205384508,counterclockwise
2.990253728,2.280908794,0.112122834,6.569635294,9.913228143,5.871853029,counterclockwise
4.568092576,1.622505951,2.316175486,4.159725265,8.305841528,4.125088882,counterclockwise
3.641818795,0.844915009,0.365982941,4.648646294,9.505381212,4.696573005,counterclockwise
4.054720185,0.907281339,0.229526714,6.364582971,9.935638643,5.362891143,counterclockwise
5.085165334,0.069659092,-0.125798429,5.350886731,9.889505229,5.889622089,counterclockwise
3.003222786,1.844260801,-0.546244109,4.99656052,9.633072172,5.098963411,counterclockwise
0.730983863,4.387579963,-1.738856012,6.062573081,9.40395327,6.011390791,counterclockwise
1.234560714,5.254157908,-1.99254849,6.269126213,8.596555997,6.901087945,counterclockwise
4.065665393,2.133136123,-0.211587983,4.858481212,8.560112683,5.971148409,counterclockwise
4.404800158,1.734544997,2.516159593,2.741618437,7.452006339,3.988233394,counterclockwise
5.59985499,-1.378273821,2.738525212,1.652921822,7.264902543,4.584950401,counterclockwise
3.913761275,-0.76950781,-0.077993826,4.877527321,8.692038341,4.78912478,counterclockwise
4.26849961,1.499533703,-0.358043437,3.458167843,8.423248866,4.818943773,counterclockwise
3.934226707,1.568618003,-1.64231279,4.699981377,9.177610171,6.18750711,counterclockwise
3.647159717,1.197473801,-0.894455958,4.518187122,10.29901943,4.728434436,counterclockwise
2.918618695,4.243136325,0.315795315,4.067203411,9.11995462,5.35808181,counterclockwise
4.688765652,3.321832244,3.137403747,2.713087911,7.039501345,2.945028769,counterclockwise
1.523316257,2.872011648,-2.182856713,6.840455926,10.0178881,7.237591747,counterclockwise
3.716950575,0.844675515,-0.466106736,5.179318004,9.614218384,5.419973344,counterclockwise
3.973397299,2.06790777,2.67528471,4.111333572,8.217393549,4.422024597,counterclockwise
6.065518694,-0.531957782,2.795059641,1.922586441,6.998183007,4.15346959,counterclockwise
4.611526286,-1.230620877,-4.032171073,4.133157483,6.615435062,5.797794249,counterclockwise
4.163478007,0.753437186,-0.461424522,4.752712017,8.897945978,6.395884523,counterclockwise
