mean_x,mean_y,mean_z,std_dev_x,std_dev_y,std_dev_z,median_x,median_y,median_z,rms_x,rms_y,rms_z,label
3.880937549,1.062526472,8.793242334,2.147141625,2.688262789,1.55877702,4.176914,0.145497435,8.45861,4.430100591,2.878098636,8.928975231,none
6.586303698,-1.717420601,7.079354411,0.426686622,0.503996815,0.352704059,6.5647485,-1.8154248,6.98507455,6.59997252,1.789135597,7.088047335,none
6.649089149,-2.11279043,6.87082008,0.154970235,0.254815798,0.139259612,6.65156785,-2.1249812,6.88268735,6.650876794,2.127948585,6.872217101,none
5.011255017,-2.303601641,7.693605067,2.01421054,0.757128967,1.593390637,6.0474243,-2.2974225,7.34133365,5.39714281,2.423652688,7.855257075,none
-1.917380784,-3.199877811,8.523239798,4.290918149,2.121716011,2.267444427,0.09340576,-2.9075536,9.323811,4.680193142,3.833520582,8.816774231,none
-8.05383995,-2.012355279,6.181748988,1.313405027,2.431758256,2.036882072,-8.1215115,-1.714834,6.13963245,8.159174001,3.147044248,6.505491545,none
-8.415907022,-0.193757074,5.636283297,0.432661752,1.699657289,0.931388176,-8.364606,0.192799075,5.76361465,8.426910183,1.702201032,5.711961003,none
-8.948224071,-0.509528437,5.401571374,0.737120739,0.954848486,1.012215038,-8.889714,-0.390388195,5.26485155,8.978230758,1.078071195,5.494661664,none
-8.567751287,-2.982625594,3.951123582,3.357579096,3.721855854,4.664270862,-8.68913075,-2.9129424,3.3548236,9.196029911,4.754970486,6.095018131,none
-8.95352908,-0.717523898,4.990574039,0.514565269,0.960010173,0.641357118,-8.9178555,-0.649649055,4.98104185,8.968155475,1.194673127,5.031208086,none
-8.793350142,-1.363005617,4.856728388,1.413231291,2.533557812,2.023131669,-8.6376385,-1.3310321,4.91996885,8.905069184,2.865747781,5.257370233,none
-9.36940019,-2.349394406,2.888094173,0.340726441,1.242247817,1.130927041,-9.314231,-2.4117846,2.6417065,9.375531637,2.654694317,3.099563512,none
-9.410438912,-2.239989938,2.266610555,0.762879854,2.281853464,1.002285167,-9.4465555,-2.06690185,2.13575865,9.441002401,3.189410855,2.476298288,none
-9.443741634,-3.086593427,2.021959315,0.935933878,2.169462938,1.164014092,-9.3866805,-3.02311345,2.1058209,9.489545224,3.766505374,2.33017145,none
-2.130992563,-6.12667547,3.987240494,5.297553248,1.564374275,3.679140664,-1.5837067,-5.903723,4.9882269,5.685469112,6.321308924,5.412836782,none
7.06094869,-5.458824334,0.312346477,0.571998767,0.808618127,1.56119233,7.1515285,-5.3696338,-0.046104125,7.08384833,5.517797364,1.584458456,none
7.556693797,-4.514324422,1.923607828,0.937579976,2.760407935,3.265810899,7.4952135,-2.97581185,3.66497865,7.614058497,5.284200832,3.776126679,none
9.194839272,0.420649251,1.729814845,0.940567992,1.334023754,1.381470797,9.0406005,0.22752686,1.7387842,9.242342274,1.392396845,2.209442541,none
8.963623995,3.132086785,1.848607793,0.267196657,0.44372852,0.689367569,9.0220385,2.9698243,1.85614015,8.967565736,3.163051324,1.971757121,none
9.05438333,2.81419585,1.968981483,0.07713147,0.088950836,0.092501128,9.047785,2.8057654,1.9681073,9.054708568,2.815587223,1.971131395,none
9.062059345,2.698240979,2.103485774,0.075538975,0.077701204,0.134035565,9.05437125,2.7027795,2.09983335,9.062371028,2.699348344,2.107709249,none
9.050108165,2.640760505,2.242384934,0.067038114,0.064791819,0.067908908,9.057964,2.6447003,2.24652825,9.050353969,2.641547282,2.243402705,none
9.05894579,2.61410394,2.233906563,0.067520393,0.061351258,0.086013548,9.050778,2.61117005,2.2369483,9.0591949,2.61481658,2.23554532,none
9.182672514,1.707086092,2.234589163,0.700474409,1.974154799,1.421562668,9.0795185,2.56566465,2.25131835,9.209084224,2.602394517,2.644621096,none
9.534285344,-0.93402171,1.661125664,1.330802337,2.554978538,1.318659299,9.395063,-0.35625915,1.4944922,9.625794592,2.708326556,2.116792903,none
7.396910058,0.65418762,3.210367989,2.657195968,4.14588332,2.752811496,7.0802765,-0.285007321,3.8086797,7.855212404,4.176652542,4.2200301,none
7.044135619,2.409964451,3.31239582,2.850352224,5.834598096,2.900740932,7.335346,1.0220746,3.7284466,7.593622939,6.285701094,4.393417922,none
7.047093504,0.541154662,7.255747607,0.931964965,1.052690801,0.769754555,6.90424255,0.254470825,7.2652915,7.107840738,1.178950683,7.296058538,none
7.083857059,-1.64591729,6.246103158,0.409802446,2.013776179,1.058689581,6.99585215,-1.2250525,6.553372,7.095582393,2.593026278,6.334305017,none
7.22735467,-2.547498437,5.967346829,0.231256634,0.621613385,0.425846481,7.271878,-2.508783,5.94743225,7.231016551,2.621504807,5.982370763,none
8.598587091,-1.701852982,3.595642833,0.55614625,0.95743073,1.152714266,8.705896,-1.67830995,3.40511905,8.616374274,1.950335981,3.774136995,none
8.894527755,-2.412167865,2.23492445,0.269532589,0.250090351,0.309768339,8.8615725,-2.35610045,2.24712705,8.898569847,2.424968771,2.256077161,none
8.902251705,-2.292871942,2.222015302,0.199184357,0.166079674,0.196381817,8.9286325,-2.30281125,2.1842577,8.904457484,2.298818909,2.230590093,none
8.877594965,-2.513860396,2.298488271,0.26852236,0.304291179,0.325269041,8.908874,-2.55488705,2.21958435,8.881614469,2.532027109,2.321161408,none
8.797218083,-2.959070569,2.018019509,0.577639232,0.806377462,0.655594064,8.822653,-2.83989435,2.1339624,8.8159728,3.06591598,2.120827263,none
7.573434982,-2.058112128,4.569661344,1.189426485,2.807434383,1.767617269,7.80536865,-1.83877625,4.1607477,7.665344443,3.469682474,4.896430424,none
5.776751183,-4.03069814,6.218871793,1.266076172,3.266659275,0.634770366,5.99353645,-4.7451325,6.27674725,5.912509925,5.177922333,6.250861578,none
5.719833547,3.026574208,7.471299356,0.348339609,1.393292808,0.327485742,5.6181168,3.58833805,7.4538997,5.73032485,3.328964349,7.478401467,none
5.627936613,4.821078509,6.746111396,0.266539319,0.316629322,0.377248896,5.66721515,4.8487172,6.67611685,5.634181688,4.831361048,6.756545902,none
7.133230332,-2.982817204,5.211358931,1.796794994,2.247558402,1.197697731,6.8647245,-2.8003766,5.10199045,7.353853581,3.728029246,5.345876632,none
6.100438062,-6.105671184,4.647008492,0.361640755,0.769931039,0.488533297,6.07556585,-5.9240806,4.567302,6.111040889,6.153542595,4.672361936,none
8.005700086,-1.69166216,3.992593347,1.026445835,2.53735206,1.664847384,7.92452065,-1.9699036,4.2787024,8.070581702,3.038995687,4.322591963,none
