mean_x,mean_y,mean_z,std_dev_x,std_dev_y,std_dev_z,label
3.880937549,1.062526472,8.793242334,2.147141625,2.688262789,1.55877702,none
6.586303698,-1.717420601,7.079354411,0.426686622,0.503996815,0.352704059,none
6.649089149,-2.11279043,6.87082008,0.154970235,0.254815798,0.139259612,none
5.011255017,-2.303601641,7.693605067,2.01421054,0.757128967,1.593390637,none
-1.917380784,-3.199877811,8.523239798,4.290918149,2.121716011,2.267444427,none
-8.05383995,-2.012355279,6.181748988,1.313405027,2.431758256,2.036882072,none
-8.415907022,-0.193757074,5.636283297,0.432661752,1.699657289,0.931388176,none
-8.948224071,-0.509528437,5.401571374,0.737120739,0.954848486,1.012215038,none
-8.567751287,-2.982625594,3.951123582,3.357579096,3.721855854,4.664270862,none
-8.95352908,-0.717523898,4.990574039,0.514565269,0.960010173,0.641357118,none
-8.793350142,-1.363005617,4.856728388,1.413231291,2.533557812,2.023131669,none
-9.36940019,-2.349394406,2.888094173,0.340726441,1.242247817,1.130927041,none
-9.410438912,-2.239989938,2.266610555,0.762879854,2.281853464,1.002285167,none
-9.443741634,-3.086593427,2.021959315,0.935933878,2.169462938,1.164014092,none
-2.130992563,-6.12667547,3.987240494,5.297553248,1.564374275,3.679140664,none
7.06094869,-5.458824334,0.312346477,0.571998767,0.808618127,1.56119233,none
7.556693797,-4.514324422,1.923607828,0.937579976,2.760407935,3.265810899,none
9.194839272,0.420649251,1.729814845,0.940567992,1.334023754,1.381470797,none
8.963623995,3.132086785,1.848607793,0.267196657,0.44372852,0.689367569,none
9.05438333,2.81419585,1.968981483,0.07713147,0.088950836,0.092501128,none
9.062059345,2.698240979,2.103485774,0.075538975,0.077701204,0.134035565,none
9.050108165,2.640760505,2.242384934,0.067038114,0.064791819,0.067908908,none
9.05894579,2.61410394,2.233906563,0.067520393,0.061351258,0.086013548,none
9.182672514,1.707086092,2.234589163,0.700474409,1.974154799,1.421562668,none
9.534285344,-0.93402171,1.661125664,1.330802337,2.554978538,1.318659299,none
7.396910058,0.65418762,3.210367989,2.657195968,4.14588332,2.752811496,none
7.044135619,2.409964451,3.31239582,2.850352224,5.834598096,2.900740932,none
7.047093504,0.541154662,7.255747607,0.931964965,1.052690801,0.769754555,none
7.083857059,-1.64591729,6.246103158,0.409802446,2.013776179,1.058689581,none
7.22735467,-2.547498437,5.967346829,0.231256634,0.621613385,0.425846481,none
8.598587091,-1.701852982,3.595642833,0.55614625,0.95743073,1.152714266,none
8.894527755,-2.412167865,2.23492445,0.269532589,0.250090351,0.309768339,none
8.902251705,-2.292871942,2.222015302,0.199184357,0.166079674,0.196381817,none
8.877594965,-2.513860396,2.298488271,0.26852236,0.304291179,0.325269041,none
8.797218083,-2.959070569,2.018019509,0.577639232,0.806377462,0.655594064,none
7.573434982,-2.058112128,4.569661344,1.189426485,2.807434383,1.767617269,none
5.776751183,-4.03069814,6.218871793,1.266076172,3.266659275,0.634770366,none
5.719833547,3.026574208,7.471299356,0.348339609,1.393292808,0.327485742,none
5.627936613,4.821078509,6.746111396,0.266539319,0.316629322,0.377248896,none
7.133230332,-2.982817204,5.211358931,1.796794994,2.247558402,1.197697731,none
6.100438062,-6.105671184,4.647008492,0.361640755,0.769931039,0.488533297,none
8.005700086,-1.69166216,3.992593347,1.026445835,2.53735206,1.664847384,none
8.90586815,0.795565616,3.623999858,0.225638781,0.617456428,0.338208064,none
8.96962366,0.44826383,3.574961826,0.328081923,0.300346029,0.201287675,none
8.938057205,-1.477200149,2.327599733,0.419566241,1.513701598,1.357783572,none
8.96400726,-2.560263899,1.364981508,0.237762233,0.356046525,0.26449109,none
9.04038442,-2.388181757,1.308351272,0.065054567,0.073975153,0.076160442,none
7.920006273,-2.368434808,4.468663372,1.0846186,2.085673506,2.825622452,none
6.807495735,-2.357321919,6.64177238,0.410123544,0.463967357,0.439410169,none
6.745991624,-2.615181703,6.541804257,0.065298245,0.069606877,0.069157447,none
3.134014792,1.818418587,8.631506706,2.955460658,3.073225067,2.560920272,none
4.462316552,4.868847192,4.68061062,2.022366974,5.465131828,2.959025447,none
-0.027722347,1.382932161,8.797948547,1.155213766,5.219543286,3.313517823,none
1.031762431,-1.676597491,8.63114746,0.98027652,4.921331678,1.806831081,none
2.518339096,-5.580934391,7.323346976,1.28327099,2.346534849,0.771415367,none
2.954987067,2.615888242,9.103732662,0.214969882,2.348729733,0.645887631,none
